name,rating,website,notion_id
Function Health,10,functionhealth.com,35f84b6d-1f49-80b9-a9a0-fe7ad9914c21
Healthspan,10,https://gethealthspan.com,35984b6d-1f49-80a3-bb09-c549ab3fc204
Hims & Hers,9,hims.com,0cfe4734-3e4b-4aff-89a3-bb3b4db42fb7
Niagen Plus,9,niagenplus.com,35884b6d-1f49-80cb-884b-e81bd00c1112
Peter MD,9,getpetermd.com,34b84b6d-1f49-8137-a9ae-f9bab69130c2
Blokes,8,joiandblokes.com,34b84b6d-1f49-81e9-9f07-e4341b8d96aa
Eden,8,eden.health,35984b6d-1f49-80fc-99b6-cf7ae44c9a3f
Good Life Meds,8,goodlifemeds.com,35784b6d-1f49-805a-a078-f3acee4501d6
Hallandale,8,hallandalerx.com,35f84b6d-1f49-806d-b3e5-c398c8e0fab1
Hone Health,8,honehealth.com,95f4651b-937c-419f-bcd5-a9683adf0bad
Keeps,8,keeps.com,37384b6d-1f49-808f-9bee-de4c65616eca
LifeMD,8,lifemd.com,37484b6d-1f49-80e1-8db3-c057faec7041
Maximus Tribe,8,maximustribe.com,34b84b6d-1f49-81ff-aff0-d98634066dbb
Motivated,8,motivated.com,35e84b6d-1f49-8014-93d0-db9225cb43ef
Opt Health,8,https://getopt.com,35984b6d-1f49-80f7-a97f-dff510122b68
Ro,8,ro.co,34b84b6d-1f49-80d0-9a6f-d48eb407c38c
Strive,8,strivepharmacy.com,35484b6d-1f49-80eb-b977-fab0a87e3cfb
Wisp,8,https://hellowisp.com,35884b6d-1f49-80e1-862a-ec3b9e836ccd
Amble,7,joinamble.com,37484b6d-1f49-80b8-9b49-ee8feba8ae08
Clinaflow,7,clinaflow.com,35f84b6d-1f49-809a-8c16-c996c804fd23
Dr Hank,7,https://mydrhank.com,35984b6d-1f49-80a9-9c91-fca646989c2b
Effecty,7,effecty.com,35784b6d-1f49-80ff-9d4f-fcb1e65479ad
Foundation Health,7,foundationhealth.com,613e4988-e618-452c-88ba-bb22ed161657
FuzeRx,7,rx.fuzehealth.com,35f84b6d-1f49-8039-a3e2-f537c06c1349
Gala,7,galaglp1.com,35784b6d-1f49-80c0-9f29-eb870f5691d9
Geviti,7,gogeviti.com,37484b6d-1f49-80d4-b22b-f328b0ef5be4
GoodRx,7,goodrx.com,35984b6d-1f49-80ab-89e1-c1d3f9acd159
Healthon,7,https://healthon.com,35884b6d-1f49-8071-b696-edb708adf250
HydraMed,7,hydramed.com,37684b6d-1f49-8071-bfe7-f8f7c478149a
Klarity Health,7,https://helloklarity.com,35984b6d-1f49-8077-84a6-e0e998c56bda
Lifeforce,7,https://www.mylifeforce.com,34b84b6d-1f49-81c4-b767-fe3ee5f7feb1
Medvi,7,home.medvi.org,35484b6d-1f49-800c-8cd5-ce224032cfd4
